FIPS,RegionName,year,median_home_value
06053,Monterey County,2022,822959.6849950211
06061,Placer County,2022,714657.0079587401
06079,San Luis Obispo County,2022,831474.8649752684
06047,Merced County,2022,417755.5182461945
06087,Santa Cruz County,2022,1164157.931784982
06041,Marin County,2022,1512270.2188273023
06007,Butte County,2022,423267.1242918626
06113,Yolo County,2022,635492.9524488911
06017,El Dorado County,2022,677513.9594679725
06089,Shasta County,2022,377653.8346452675
06025,Imperial County,2022,308285.693068825
06039,Madera County,2022,395331.3819010652
06031,Kings County,2022,327814.7274687771
06055,Napa County,2022,911461.4749932998
06023,Humboldt County,2022,493517.5444018249
06057,Nevada County,2022,655049.0990237388
06101,Sutter County,2022,442927.91330087767
06045,Mendocino County,2022,593648.0000107421
06115,Yuba County,2022,425276.7846419968
06033,Lake County,2022,347079.6910466805
06103,Tehama County,2022,326254.16150028066
06069,San Benito County,2022,828036.4344592855
06109,Tuolumne County,2022,417330.148034123
06009,Calaveras County,2022,471525.5426230692
06093,Siskiyou County,2022,298835.0362551973
06005,Amador County,2022,448810.329632232
06035,Lassen County,2022,234176.17032063997
06021,Glenn County,2022,352522.73975046555
06015,Del Norte County,2022,358599.46802253596
06011,Colusa County,2022,360793.1624365722
06063,Plumas County,2022,380215.876407848
06027,Inyo County,2022,491008.10407292144
06043,Mariposa County,2022,430375.42797866394
06105,Trinity County,2022,319117.46636192076
06051,Mono County,2022,749541.8166728077
06049,Modoc County,2022,175042.91291386914
06091,Sierra County,2022,327513.19981865084
06003,Alpine County,2022,530400.6189320782
06037,Los Angeles County,2023,839262.8242648492
06073,San Diego County,2023,879522.5192792728
06059,Orange County,2023,1029539.2740139868
06065,Riverside County,2023,587355.8369976378
06071,San Bernardino County,2023,525981.6836914874
06085,Santa Clara County,2023,1500361.1599278038
06001,Alameda County,2023,1088702.2519507075
06067,Sacramento County,2023,526863.5261504258
06013,Contra Costa County,2023,814617.9125504975
06019,Fresno County,2023,384809.94072230783
06029,Kern County,2023,336623.2529590488
06075,San Francisco County,2023,1289092.270607995
06111,Ventura County,2023,837938.2656260297
06077,San Joaquin County,2023,537534.459100264
06081,San Mateo County,2023,1521740.6148138558
06099,Stanislaus County,2023,445870.7406041557
06097,Sonoma County,2023,797939.2385000164
06107,Tulare County,2023,335487.87703984935
06095,Solano County,2023,582370.7721569316
06083,Santa Barbara County,2023,914106.4050577396
06053,Monterey County,2023,818951.1356192688
06061,Placer County,2023,675057.5925276192
06079,San Luis Obispo County,2023,847281.3250262284
06047,Merced County,2023,404592.3556694559
06087,Santa Cruz County,2023,1117361.2568690607
06041,Marin County,2023,1432541.0113930888
06007,Butte County,2023,402223.9234913665
06113,Yolo County,2023,615632.1067207794
06017,El Dorado County,2023,645630.8213951439
06089,Shasta County,2023,368745.2615855278
06025,Imperial County,2023,318632.2045499279
06039,Madera County,2023,394368.98331912624
06031,Kings County,2023,332610.08520207275
06055,Napa County,2023,907331.9802718181
06023,Humboldt County,2023,475628.74638797337
06057,Nevada County,2023,618168.432677798
06101,Sutter County,2023,427349.57747504395
06045,Mendocino County,2023,537992.9093305166
06115,Yuba County,2023,412375.191777786
06033,Lake County,2023,327378.02984679944
06103,Tehama County,2023,311043.0468681249
06069,San Benito County,2023,774640.1854655389
06109,Tuolumne County,2023,403956.73802472936
06009,Calaveras County,2023,450472.35927859176
06093,Siskiyou County,2023,293387.23638400325
06005,Amador County,2023,431375.33420208475
06035,Lassen County,2023,234107.14034046783
06021,Glenn County,2023,339653.74561709
06015,Del Norte County,2023,357752.5910630712
06011,Colusa County,2023,358269.1206731801
06063,Plumas County,2023,372459.69308542594
06027,Inyo County,2023,500492.7630302496
06043,Mariposa County,2023,413637.5621374931
06105,Trinity County,2023,293130.79246634553
06051,Mono County,2023,732812.9143570921
06049,Modoc County,2023,178761.37474717633
06091,Sierra County,2023,319502.9748883162
06003,Alpine County,2023,515610.0733264697
06037,Los Angeles County,2024,883843.3018532455
06073,San Diego County,2024,952456.3996922816
06059,Orange County,2024,1138840.7836829196
06065,Riverside County,2024,615324.5412603603
06071,San Bernardino County,2024,552890.4299383607
06085,Santa Clara County,2024,1642988.0977832265
06001,Alameda County,2024,1143815.8451447492
06067,Sacramento County,2024,542603.3901870436
06013,Contra Costa County,2024,832397.3122246382
06019,Fresno County,2024,401535.8328769417
