fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year,median_home_value,median_household_income,income_source,median_multiple
06057,Nevada,5712.7762684,3.6390708806,2329.0,14.4,6.013048845,2019,478657.39872739447,68818,1yr,6.955409903330444
06059,Orange,4158.2953849,3.3479358683,3125.0,15.7,6.2673207223,2019,720220.6414054148,95934,1yr,7.507459726535064
06061,Placer,4694.1035749,3.4100916984,2524.0,7.2,5.7162667078,2019,510722.6645881475,97723,1yr,5.226227854119783
06063,Plumas,8153.6813841,3.9158940134,3731.0,22.0,9.2459605027,2019,277049.4810821091,55359,5yr,5.004596923392928
06065,Riverside,5777.981117,3.5608008416,3715.0,16.2,6.6238469809,2019,394332.6271260511,73260,1yr,5.382645742916341
06067,Sacramento,6373.7545444,3.8495857001,3428.0,18.2,6.8672597371,2019,390917.70740095177,72017,1yr,5.428130960758596
06069,San Benito,5253.2199296,3.5386356399,3985.0,11.9,6.3337866718,2019,609834.4888042404,86958,5yr,7.012977400632954
06071,San Bernardino,6709.3598218,3.9313351668,4519.0,23.0,7.2480234151,2019,357801.077028552,67903,1yr,5.269297041788316
06073,San Diego,4611.3504296,3.6547747517,3183.0,15.7,6.4861398836,2019,603028.5245463356,83985,1yr,7.180193183858255
06075,San Francisco,4384.419376,3.2302780125,3018.0,12.3,6.9827819633,2019,1319208.5892248352,123859,1yr,10.65089003806615
06077,San Joaquin,7218.5943993,4.0001332864,3915.0,21.6,7.2336986573,2019,394918.636706421,68997,1yr,5.72370735983334
06079,San Luis Obispo,5351.8147503,3.7104546616,2142.0,12.3,5.9236122527,2019,614835.0090296178,77265,1yr,7.957484100558051
06081,San Mateo,3469.7978306,2.9481156081,2254.0,7.0,6.8037949454,2019,1339933.3660717774,138500,1yr,9.674609141312473
06083,Santa Barbara,5014.7669451,3.4611946276,1965.0,17.4,6.3971366638,2019,607442.1620690209,75653,1yr,8.029320212933008
06085,Santa Clara,3641.4113944,2.9005243314,2910.0,8.1,6.9240881715,2019,1190625.4175825461,133076,1yr,8.946958261313432
06087,Santa Cruz,4699.1485239,3.8838007296,2690.0,13.7,5.6885644769,2019,820297.3660228606,89269,1yr,9.189050689745159
