fips,county,premature_death_rate,poor_mental_health_days,preventable_hosp_rate,children_in_poverty_pct,low_birthweight_pct,year
6091.0,Sierra,,3.9954187376,3101.0,18.0,8.1395348837,2020
6093.0,Siskiyou,9455.1533337,4.4205368709,3256.0,24.2,8.1004709576,2020
6095.0,Solano,6149.0383397,3.70098803,3456.0,10.2,6.8052825383,2020
6097.0,Sonoma,4779.2582374,3.9567461917,2710.0,11.7,5.7694547996,2020
6099.0,Stanislaus,7163.5505852,4.42379587,4613.0,21.4,6.4151655192,2020
6101.0,Sutter,7136.0381906,3.8930773404,4285.0,18.0,6.6026278017,2020
6103.0,Tehama,8847.4706238,4.5137484163,3433.0,24.2,6.0774504354,2020
6105.0,Trinity,11187.237833,4.462222079,2912.0,31.3,6.0913705584,2020
6107.0,Tulare,7209.0187819,4.7128243317,4469.0,28.6,6.7067645982,2020
6109.0,Tuolumne,7518.9026826,3.8737993841,2464.0,16.5,6.1938680706,2020
6111.0,Ventura,4694.6479676,3.7469855478,3359.0,12.4,6.0593865877,2020
6113.0,Yolo,4795.4639776,4.0171729674,2878.0,15.2,5.6984184474,2020
6115.0,Yuba,9637.6553819,4.0792669518,4921.0,21.8,6.6537857747,2020
6001.0,Alameda,4341.1728267,3.9880290145,3023.0,9.8,7.2056924971,2021
6003.0,Alpine,,4.9894394376,3018.0,29.6,,2021
6005.0,Amador,6203.8883539,4.4930309348,2802.0,12.5,6.4997592682,2021
6007.0,Butte,7577.9065977,5.0687201333,4748.0,16.1,6.0865940087,2021
6009.0,Calaveras,7867.4467053,4.722684653,2536.0,19.6,6.0318664643,2021
6011.0,Colusa,6576.0698843,4.6625533153,4095.0,15.3,6.1355764473,2021
6013.0,Contra Costa,4619.1950862,4.0949381958,3222.0,9.9,6.9424309031,2021
6015.0,Del Norte,8783.3550922,5.1648304003,2997.0,25.8,5.8908045977,2021
6017.0,El Dorado,4818.8844887,4.0938505553,3131.0,9.1,6.6342605095,2021
6019.0,Fresno,7008.1968758,4.67192043,3839.0,29.0,7.5962023749,2021
6021.0,Glenn,7522.8961048,4.8893361981,5079.0,18.1,6.5337763012,2021
6023.0,Humboldt,8732.6240991,5.1904568189,2961.0,20.5,5.9261465158,2021
6025.0,Imperial,5980.0516352,4.6778900511,3614.0,30.7,5.6366922288,2021
6027.0,Inyo,7746.8175792,4.4578045628,2118.0,15.4,7.6923076923,2021
6029.0,Kern,8031.3770962,4.6611399232,4466.0,26.0,7.4252255104,2021
6031.0,Kings,6595.0736714,4.8202421868,4114.0,22.3,6.4264301774,2021
6033.0,Lake,11656.95136,5.1522516547,3652.0,25.2,6.7064945076,2021
6035.0,Lassen,6814.1306162,4.8224445509,3561.0,15.0,8.0831408776,2021
6037.0,Los Angeles,5005.0111192,4.2638464583,4053.0,18.3,7.1934224499,2021
6039.0,Madera,6777.9989315,4.9077936053,3386.0,26.1,6.1820300363,2021
6041.0,Marin,3238.9973763,3.5982321018,2101.0,7.2,5.8621129094,2021
6043.0,Mariposa,7089.7760493,4.6753022757,2908.0,21.9,6.5541211519,2021
6045.0,Mendocino,7754.07372,4.8205155402,2805.0,20.4,6.6319142774,2021
6047.0,Merced,6592.9948408,5.0073489417,5004.0,22.5,6.1954686181,2021
6049.0,Modoc,9281.8010885,5.0825826314,3327.0,31.0,7.0063694268,2021
6051.0,Mono,3978.7872276,4.2925970322,2297.0,12.0,8.2995951417,2021
6053.0,Monterey,5072.4507764,4.3566349517,3162.0,18.4,6.1647483847,2021
6055.0,Napa,4401.2936801,3.9981254878,2795.0,8.4,5.9106601109,2021
6057.0,Nevada,6068.4056895,4.328205098,2285.0,13.5,5.8833860204,2021
6059.0,Orange,4144.3284058,3.7925249386,2832.0,12.6,6.2767661829,2021
6061.0,Placer,4471.2396564,3.7989254555,1991.0,7.5,5.6897019495,2021
6063.0,Plumas,8708.5106803,4.5553150715,3911.0,19.3,9.3333333333,2021
6065.0,Riverside,5842.4339642,4.3868611473,3564.0,14.1,6.8172962676,2021
6067.0,Sacramento,6381.6141766,4.4899938389,3603.0,16.0,6.9304229195,2021
6069.0,San Benito,5385.5886075,4.2631666142,3349.0,13.9,6.5689261234,2021
6071.0,San Bernardino,6845.5852838,4.5204284838,4170.0,18.5,7.4374072524,2021
6073.0,San Diego,4633.6240395,4.0308973658,2974.0,12.8,6.6173700875,2021
6075.0,San Francisco,4315.4324137,3.9440995165,2921.0,9.3,7.0034017444,2021
