year,NAME,GEO_ID,S1901_C01_012E,income_source
2023,"San Luis Obispo County, California",0500000US06079,90670,1yr
2023,"San Joaquin County, California",0500000US06077,87418,1yr
2023,"San Diego County, California",0500000US06073,103674,1yr
2021,"Fresno County, California",0500000US06019,63656,1yr
2023,"Alameda County, California",0500000US06001,119931,1yr
2021,"Contra Costa County, California",0500000US06013,111080,1yr
2017,"Orange County, California",0500000US06059,86217,1yr
2017,"Nevada County, California",0500000US06057,65385,1yr
2017,"Napa County, California",0500000US06055,86562,1yr
2017,"Monterey County, California",0500000US06053,71274,1yr
2017,"Merced County, California",0500000US06047,47735,1yr
2017,"Mendocino County, California",0500000US06045,53024,1yr
2017,"Marin County, California",0500000US06041,113908,1yr
2017,"Placer County, California",0500000US06061,80728,1yr
2017,"Madera County, California",0500000US06039,51283,1yr
2017,"Lake County, California",0500000US06033,48930,1yr
2017,"Kings County, California",0500000US06031,57555,1yr
2017,"Kern County, California",0500000US06029,49854,1yr
2017,"Imperial County, California",0500000US06025,47211,1yr
2017,"Humboldt County, California",0500000US06023,46494,1yr
2017,"Fresno County, California",0500000US06019,51800,1yr
2017,"El Dorado County, California",0500000US06017,79414,1yr
2017,"Los Angeles County, California",0500000US06037,65006,1yr
2017,"Riverside County, California",0500000US06065,63944,1yr
2017,"Sacramento County, California",0500000US06067,63045,1yr
2017,"San Bernardino County, California",0500000US06071,60420,1yr
2017,"Yuba County, California",0500000US06115,63120,1yr
2017,"Yolo County, California",0500000US06113,65729,1yr
2017,"Ventura County, California",0500000US06111,82857,1yr
2017,"Tulare County, California",0500000US06107,46266,1yr
2017,"Sutter County, California",0500000US06101,55062,1yr
2017,"Stanislaus County, California",0500000US06099,59514,1yr
2017,"Sonoma County, California",0500000US06097,80409,1yr
2017,"Solano County, California",0500000US06095,77133,1yr
2017,"Shasta County, California",0500000US06089,52439,1yr
2017,"Santa Cruz County, California",0500000US06087,79705,1yr
2017,"Santa Clara County, California",0500000US06085,119035,1yr
2017,"Santa Barbara County, California",0500000US06083,71106,1yr
2017,"San Mateo County, California",0500000US06081,116653,1yr
2017,"San Luis Obispo County, California",0500000US06079,71880,1yr
2017,"San Joaquin County, California",0500000US06077,61164,1yr
2017,"San Francisco County, California",0500000US06075,110816,1yr
2017,"San Diego County, California",0500000US06073,76207,1yr
2017,"Contra Costa County, California",0500000US06013,95339,1yr
2017,"Butte County, California",0500000US06007,49061,1yr
2017,"Alameda County, California",0500000US06001,96296,1yr
2016,"Yuba County, California",0500000US06115,49259,1yr
2016,"Nevada County, California",0500000US06057,59022,1yr
